"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Oklahoma City city, Oklahoma","","","","","","","","","","","","","","","",""
"    Estimate","2.57","9,485","38","3","105","24","431,007","24,881","32,344","114,039","94,145","31,391","83,515","50,692","231,963","215,417"
"    Percent","(X)","9,485","(X)","(X)","(X)","(X)","431,007","5.8%","7.5%","26.5%","21.8%","7.3%","19.4%","11.8%","92.9%","86.3%"
"Tulsa city, Oklahoma","","","","","","","","","","","","","","","",""
"    Estimate","2.41","5,761","43","31","84","40","266,253","11,531","20,274","67,645","56,568","20,873","57,668","31,694","152,766","141,910"
"    Percent","(X)","5,761","(X)","(X)","(X)","(X)","266,253","4.3%","7.6%","25.4%","21.2%","7.8%","21.7%","11.9%","93.3%","86.6%"
"Beaverton city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.25","792","0","0","50","19","74,464","1,295","1,906","15,280","15,491","6,591","22,216","11,685","42,231","39,551"
"    Percent","(X)","792","(X)","(X)","(X)","(X)","74,464","1.7%","2.6%","20.5%","20.8%","8.9%","29.8%","15.7%","96.7%","90.6%"
"Bend city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.54","1,052","1","4","89","29","72,000","1,435","2,323","11,656","15,229","8,240","19,887","13,230","38,042","36,924"
"    Percent","(X)","1,052","(X)","(X)","(X)","(X)","72,000","2.0%","3.2%","16.2%","21.2%","11.4%","27.6%","18.4%","96.6%","93.8%"
"Eugene city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.27","1,724","16","0","46","40","114,429","2,313","3,397","20,102","30,369","9,536","25,099","23,613","70,019","66,490"
"    Percent","(X)","1,724","(X)","(X)","(X)","(X)","114,429","2.0%","3.0%","17.6%","26.5%","8.3%","21.9%","20.6%","95.5%","90.7%"
"Gresham city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.65","1,705","44","0","85","54","77,272","5,765","6,429","19,148","19,278","7,701","12,345","6,606","38,272","36,558"
"    Percent","(X)","1,705","(X)","(X)","(X)","(X)","77,272","7.5%","8.3%","24.8%","24.9%","10.0%","16.0%","8.5%","94.3%","90.0%"
"Hillsboro city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.82","1,110","7","0","46","41","73,531","3,895","2,959","15,021","16,294","5,310","16,004","14,048","37,489","35,546"
"    Percent","(X)","1,110","(X)","(X)","(X)","(X)","73,531","5.3%","4.0%","20.4%","22.2%","7.2%","21.8%","19.1%","98.4%","93.3%"
"Medford city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.46","1,459","68","0","185","5","57,249","1,968","4,366","16,777","14,891","4,475","9,239","5,533","30,506","28,249"
"    Percent","(X)","1,459","(X)","(X)","(X)","(X)","57,249","3.4%","7.6%","29.3%","26.0%","7.8%","16.1%","9.7%","92.3%","85.5%"
"Portland city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.27","5,150","7","0","31","30","487,931","14,736","17,120","73,331","93,080","31,866","153,312","104,486","269,014","256,253"
"    Percent","(X)","5,150","(X)","(X)","(X)","(X)","487,931","3.0%","3.5%","15.0%","19.1%","6.5%","31.4%","21.4%","96.0%","91.5%"
"Salem city, Oregon","","","","","","","","","","","","","","","",""
"    Estimate","2.73","1,722","4","0","73","19","111,510","7,636","6,083","22,099","31,557","9,634","21,185","13,316","58,556","55,313"
"    Percent","(X)","1,722","(X)","(X)","(X)","(X)","111,510","6.8%","5.5%","19.8%","28.3%","8.6%","19.0%","11.9%","95.9%","90.5%"
"Allentown city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","2.80","1,747","68","0","109","3","73,580","6,517","7,325","30,585","13,328","5,026","7,514","3,285","35,264","31,680"
"    Percent","(X)","1,747","(X)","(X)","(X)","(X)","73,580","8.9%","10.0%","41.6%","18.1%","6.8%","10.2%","4.5%","86.1%","77.3%"
"Bethlehem city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","2.39","724","18","0","32","65","50,850","2,531","3,825","16,412","8,372","3,787","10,698","5,225","26,690","25,485"
"    Percent","(X)","724","(X)","(X)","(X)","(X)","50,850","5.0%","7.5%","32.3%","16.5%","7.4%","21.0%","10.3%","91.4%","87.2%"
"Erie city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","2.26","1,508","63","0","101","49","63,928","2,603","6,507","24,176","10,421","5,951","9,495","4,775","34,549","32,045"
"    Percent","(X)","1,508","(X)","(X)","(X)","(X)","63,928","4.1%","10.2%","37.8%","16.3%","9.3%","14.9%","7.5%","86.8%","80.5%"
"Philadelphia city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","2.48","22,121","41","10","78","31","1,088,441","54,924","98,403","353,708","179,123","64,608","195,772","141,903","562,041","521,359"
"    Percent","(X)","22,121","(X)","(X)","(X)","(X)","1,088,441","5.0%","9.0%","32.5%","16.5%","5.9%","18.0%","13.0%","90.7%","84.2%"
"Pittsburgh city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","1.94","3,192","22","16","41","44","207,348","3,283","8,850","51,395","30,143","16,228","50,275","47,174","130,839","123,909"
"    Percent","(X)","3,192","(X)","(X)","(X)","(X)","207,348","1.6%","4.3%","24.8%","14.5%","7.8%","24.2%","22.8%","91.3%","86.5%"
"Reading city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","2.92","1,470","74","44","113","9","51,648","5,724","8,867","19,602","7,400","2,914","5,326","1,815","25,202","22,559"
"    Percent","(X)","1,470","(X)","(X)","(X)","(X)","51,648","11.1%","17.2%","38.0%","14.3%","5.6%","10.3%","3.5%","85.9%","76.9%"
"Scranton city, Pennsylvania","","","","","","","","","","","","","","","",""
"    Estimate","2.30","992","11","0","107","8","51,811","2,134","3,976","21,639","7,810","3,645","8,218","4,389","27,735","26,499"
"    Percent","(X)","992","(X)","(X)","(X)","(X)","51,811","4.1%","7.7%","41.8%","15.1%","7.0%","15.9%","8.5%","89.7%","85.7%"
"Cranston city, Rhode Island","","","","","","","","","","","","","","","",""
"    Estimate","2.51","N","N","N","N","N","58,619","1,546","3,197","14,870","12,245","5,928","11,665","9,168","28,503","26,767"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","58,619","2.6%","5.5%","25.4%","20.9%","10.1%","19.9%","15.6%","91.4%","85.8%"
"Pawtucket city, Rhode Island","","","","","","","","","","","","","","","",""
"    Estimate","2.52","N","N","N","N","N","50,197","5,086","3,792","17,770","7,789","4,128","8,303","3,329","25,588","22,974"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,197","10.1%","7.6%","35.4%","15.5%","8.2%","16.5%","6.6%","89.9%","80.7%"
"Providence city, Rhode Island","","","","","","","","","","","","","","","",""
"    Estimate","2.65","1,193","10","0","19","39","113,555","12,428","6,266","33,494","17,907","5,782","20,321","17,357","56,212","53,367"
"    Percent","(X)","1,193","(X)","(X)","(X)","(X)","113,555","10.9%","5.5%","29.5%","15.8%","5.1%","17.9%","15.3%","90.6%","86.0%"
"Warwick city, Rhode Island","","","","","","","","","","","","","","","",""
"    Estimate","2.31","943","33","0","114","17","61,103","1,255","2,936","17,923","12,455","6,183","12,280","8,071","32,225","31,081"
"    Percent","(X)","943","(X)","(X)","(X)","(X)","61,103","2.1%","4.8%","29.3%","20.4%","10.1%","20.1%","13.2%","92.5%","89.2%"
"Charleston city, South Carolina","","","","","","","","","","","","","","","",""
"    Estimate","2.33","2,028","25","0","63","44","100,291","1,511","2,868","17,092","15,533","6,690","35,956","20,641","56,224","51,515"
"    Percent","(X)","2,028","(X)","(X)","(X)","(X)","100,291","1.5%","2.9%","17.0%","15.5%","6.7%","35.9%","20.6%","95.5%","87.5%"
"Columbia city, South Carolina","","","","","","","","","","","","","","","",""
"    Estimate","2.23","1,785","14","6","63","67","74,991","1,496","6,562","15,004","12,907","4,638","20,903","13,481","43,594","38,677"
"    Percent","(X)","1,785","(X)","(X)","(X)","(X)","74,991","2.0%","8.8%","20.0%","17.2%","6.2%","27.9%","18.0%","95.9%","85.1%"
"Greenville city, South Carolina","","","","","","","","","","","","","","","",""
"    Estimate","2.05","514","0","0","29","27","49,765","1,961","3,255","6,884","8,093","3,250","15,508","10,814","29,539","27,384"
"    Percent","(X)","514","(X)","(X)","(X)","(X)","49,765","3.9%","6.5%","13.8%","16.3%","6.5%","31.2%","21.7%","91.6%","84.9%"
"Mount Pleasant town, South Carolina","","","","","","","","","","","","","","","",""
"    Estimate","2.53","N","N","N","N","N","66,232","527","1,334","6,248","9,333","4,984","26,403","17,403","35,487","34,043"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","66,232","0.8%","2.0%","9.4%","14.1%","7.5%","39.9%","26.3%","98.3%","94.3%"
"North Charleston city, South Carolina","","","","","","","","","","","","","","","",""
"    Estimate","2.49","2,115","33","0","80","78","81,738","4,589","9,244","22,685","16,048","8,245","14,762","6,165","44,856","32,594"
"    Percent","(X)","2,115","(X)","(X)","(X)","(X)","81,738","5.6%","11.3%","27.8%","19.6%","10.1%","18.1%","7.5%","95.3%","69.3%"
"Rock Hill city, South Carolina","","","","","","","","","","","","","","","",""
"    Estimate","2.23","N","N","N","N","N","49,897","1,730","1,941","11,251","14,377","5,076","9,761","5,761","30,794","29,468"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","49,897","3.5%","3.9%","22.5%","28.8%","10.2%","19.6%","11.5%","95.2%","91.1%"
"Rapid City city, South Dakota","","","","","","","","","","","","","","","",""
"    Estimate","2.35","986","22","0","72","61","54,079","668","3,296","13,479","13,357","5,420","11,738","6,121","29,444","27,014"
"    Percent","(X)","986","(X)","(X)","(X)","(X)","54,079","1.2%","6.1%","24.9%","24.7%","10.0%","21.7%","11.3%","93.8%","86.1%"
"Sioux Falls city, South Dakota","","","","","","","","","","","","","","","",""
"    Estimate","2.31","3,182","25","35","126","29","120,983","4,423","4,543","28,438","24,741","14,465","30,511","13,862","72,608","69,942"
"    Percent","(X)","3,182","(X)","(X)","(X)","(X)","120,983","3.7%","3.8%","23.5%","20.4%","12.0%","25.2%","11.5%","94.3%","90.8%"
"Chattanooga city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.19","3,103","30","25","96","36","130,503","5,186","10,897","32,256","29,541","10,723","25,404","16,496","70,991","67,669"
"    Percent","(X)","3,103","(X)","(X)","(X)","(X)","130,503","4.0%","8.3%","24.7%","22.6%","8.2%","19.5%","12.6%","89.2%","85.0%"
"Clarksville city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.62","3,718","39","12","153","22","95,041","1,642","3,424","26,951","23,127","12,924","17,240","9,733","56,927","52,852"
"    Percent","(X)","3,718","(X)","(X)","(X)","(X)","95,041","1.7%","3.6%","28.4%","24.3%","13.6%","18.1%","10.2%","96.5%","89.6%"
"Franklin city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.53","1,456","79","0","149","20","56,196","598","1,387","7,226","7,232","3,424","22,204","14,125","31,488","30,886"
"    Percent","(X)","1,456","(X)","(X)","(X)","(X)","56,196","1.1%","2.5%","12.9%","12.9%","6.1%","39.5%","25.1%","96.3%","94.5%"
"Jackson city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.45","N","N","N","N","N","41,378","1,479","3,303","13,606","8,714","2,961","6,555","4,760","22,577","21,443"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","41,378","3.6%","8.0%","32.9%","21.1%","7.2%","15.8%","11.5%","87.1%","82.7%"
"Johnson City city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.08","N","N","N","N","N","43,914","1,628","3,321","9,891","7,908","2,736","9,750","8,680","27,896","26,598"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","43,914","3.7%","7.6%","22.5%","18.0%","6.2%","22.2%","19.8%","90.8%","86.6%"
"Knoxville city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.14","1,786","12","0","50","19","123,677","3,767","9,313","34,015","25,459","10,469","25,101","15,553","76,857","65,370"
"    Percent","(X)","1,786","(X)","(X)","(X)","(X)","123,677","3.0%","7.5%","27.5%","20.6%","8.5%","20.3%","12.6%","92.1%","78.3%"
"Memphis city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.50","7,761","50","4","77","23","430,632","19,699","39,773","136,228","101,624","23,113","65,766","44,429","215,897","187,376"
"    Percent","(X)","7,761","(X)","(X)","(X)","(X)","430,632","4.6%","9.2%","31.6%","23.6%","5.4%","15.3%","10.3%","84.9%","73.6%"
"Murfreesboro city, Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.72","2,593","63","0","118","22","89,649","3,080","3,051","18,606","25,474","8,459","19,623","11,356","50,494","49,196"
"    Percent","(X)","2,593","(X)","(X)","(X)","(X)","89,649","3.4%","3.4%","20.8%","28.4%","9.4%","21.9%","12.7%","96.1%","93.7%"
"Nashville-Davidson metropolitan government (balance), Tennessee","","","","","","","","","","","","","","","",""
"    Estimate","2.32","10,712","30","8","80","39","465,969","19,509","29,404","94,245","82,411","29,601","130,797","80,002","266,751","250,898"
"    Percent","(X)","10,712","(X)","(X)","(X)","(X)","465,969","4.2%","6.3%","20.2%","17.7%","6.4%","28.1%","17.2%","95.4%","89.8%"
"Abilene city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.56","2,393","51","0","147","26","76,764","2,837","5,394","25,127","18,258","6,097","12,453","6,598","39,544","36,254"
"    Percent","(X)","2,393","(X)","(X)","(X)","(X)","76,764","3.7%","7.0%","32.7%","23.8%","7.9%","16.2%","8.6%","91.9%","84.3%"
"Allen city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.05","N","N","N","N","N","67,288","1,214","1,295","9,733","11,088","6,920","22,997","14,041","34,103","33,605"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","67,288","1.8%","1.9%","14.5%","16.5%","10.3%","34.2%","20.9%","98.7%","97.3%"
"Amarillo city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.57","1,873","16","18","67","17","126,760","8,488","10,284","35,929","29,213","11,189","21,144","10,513","71,721","67,252"
"    Percent","(X)","1,873","(X)","(X)","(X)","(X)","126,760","6.7%","8.1%","28.3%","23.0%","8.8%","16.7%","8.3%","94.1%","88.2%"
"Arlington city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.85","5,957","40","0","90","43","252,612","12,657","18,767","64,667","53,604","17,979","57,470","27,468","133,208","128,471"
"    Percent","(X)","5,957","(X)","(X)","(X)","(X)","252,612","5.0%","7.4%","25.6%","21.2%","7.1%","22.8%","10.9%","96.1%","92.7%"
"Atascocita CDP, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.16","924","23","0","88","25","53,176","898","2,722","9,179","13,282","4,787","14,421","7,887","25,054","N"
"    Percent","(X)","924","(X)","(X)","(X)","(X)","53,176","1.7%","5.1%","17.3%","25.0%","9.0%","27.1%","14.8%","98.3%","N"
"Austin city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.33","11,842","14","4","64","25","686,879","40,220","28,598","97,804","104,360","37,771","233,048","145,078","389,192","365,742"
"    Percent","(X)","11,842","(X)","(X)","(X)","(X)","686,879","5.9%","4.2%","14.2%","15.2%","5.5%","33.9%","21.1%","94.9%","89.2%"
"Baytown city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.83","N","N","N","N","N","50,157","4,588","3,713","17,797","11,075","5,594","4,962","2,428","25,160","22,695"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,157","9.1%","7.4%","35.5%","22.1%","11.2%","9.9%","4.8%","93.3%","84.1%"
"Beaumont city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.48","869","24","0","53","12","76,789","5,183","5,712","22,335","17,403","5,115","13,695","7,346","43,205","38,912"
"    Percent","(X)","869","(X)","(X)","(X)","(X)","76,789","6.7%","7.4%","29.1%","22.7%","6.7%","17.8%","9.6%","95.1%","85.6%"
"Brownsville city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.30","2,663","40","5","96","43","109,378","19,636","15,458","27,113","19,184","7,135","14,881","5,971","46,706","42,345"
"    Percent","(X)","2,663","(X)","(X)","(X)","(X)","109,378","18.0%","14.1%","24.8%","17.5%","6.5%","13.6%","5.5%","84.8%","76.9%"
"Bryan city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.64","1,403","21","0","89","50","54,547","4,239","5,186","15,780","12,958","2,779","8,143","5,462","27,708","23,061"
"    Percent","(X)","1,403","(X)","(X)","(X)","(X)","54,547","7.8%","9.5%","28.9%","23.8%","5.1%","14.9%","10.0%","89.2%","74.3%"
"Carrollton city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.83","1,604","7","0","86","10","98,480","5,042","5,624","20,424","20,359","6,846","28,733","11,452","48,142","44,553"
"    Percent","(X)","1,604","(X)","(X)","(X)","(X)","98,480","5.1%","5.7%","20.7%","20.7%","7.0%","29.2%","11.6%","98.3%","91.0%"
"Cedar Park city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.21","N","N","N","N","N","52,352","462","1,798","9,110","10,669","4,469","16,930","8,914","23,410","22,827"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","52,352","0.9%","3.4%","17.4%","20.4%","8.5%","32.3%","17.0%","97.4%","95.0%"
"College Station city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.63","896","9","0","27","30","52,879","724","2,015","7,695","7,798","1,715","17,119","15,813","39,705","35,372"
"    Percent","(X)","896","(X)","(X)","(X)","(X)","52,879","1.4%","3.8%","14.6%","14.7%","3.2%","32.4%","29.9%","98.6%","87.8%"
"Conroe city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.86","894","4","31","62","20","58,949","5,538","6,348","13,641","13,076","4,126","11,653","4,567","30,037","28,150"
"    Percent","(X)","894","(X)","(X)","(X)","(X)","58,949","9.4%","10.8%","23.1%","22.2%","7.0%","19.8%","7.7%","96.2%","90.1%"
"Corpus Christi city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.67","3,738","33","11","68","38","213,562","13,376","18,457","65,691","47,087","18,306","31,590","19,055","110,143","104,553"
"    Percent","(X)","3,738","(X)","(X)","(X)","(X)","213,562","6.3%","8.6%","30.8%","22.0%","8.6%","14.8%","8.9%","92.4%","87.7%"
"Dallas city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.56","22,607","44","22","92","39","882,889","106,146","75,935","202,156","151,324","40,650","190,370","116,308","469,248","423,525"
"    Percent","(X)","22,607","(X)","(X)","(X)","(X)","882,889","12.0%","8.6%","22.9%","17.1%","4.6%","21.6%","13.2%","90.4%","81.6%"
"Denton city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.86","2,142","18","0","51","76","86,135","3,053","5,559","15,044","21,781","3,950","24,060","12,688","44,635","41,469"
"    Percent","(X)","2,142","(X)","(X)","(X)","(X)","86,135","3.5%","6.5%","17.5%","25.3%","4.6%","27.9%","14.7%","96.7%","89.9%"
"Edinburg city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.18","781","9","0","23","49","57,440","5,317","6,234","13,186","12,538","3,272","10,626","6,267","27,461","24,771"
"    Percent","(X)","781","(X)","(X)","(X)","(X)","57,440","9.3%","10.9%","23.0%","21.8%","5.7%","18.5%","10.9%","90.9%","82.0%"
"El Paso city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.02","10,764","56","35","102","32","427,304","44,298","36,023","106,802","96,360","40,118","72,042","31,661","203,199","189,452"
"    Percent","(X)","10,764","(X)","(X)","(X)","(X)","427,304","10.4%","8.4%","25.0%","22.6%","9.4%","16.9%","7.4%","91.1%","84.9%"
"Flower Mound town, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.05","1,345","0","0","128","69","55,431","521","655","7,039","9,946","3,376","22,320","11,574","27,153","26,644"
"    Percent","(X)","1,345","(X)","(X)","(X)","(X)","55,431","0.9%","1.2%","12.7%","17.9%","6.1%","40.3%","20.9%","99.8%","98.0%"
"Fort Worth city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.90","14,915","42","35","93","32","575,184","48,416","49,218","143,183","115,462","38,832","119,492","60,581","295,092","275,296"
"    Percent","(X)","14,915","(X)","(X)","(X)","(X)","575,184","8.4%","8.6%","24.9%","20.1%","6.8%","20.8%","10.5%","95.5%","89.1%"
"Frisco city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.95","2,351","0","0","91","25","126,374","2,207","2,873","12,943","20,104","8,278","46,431","33,538","67,698","66,000"
"    Percent","(X)","2,351","(X)","(X)","(X)","(X)","126,374","1.7%","2.3%","10.2%","15.9%","6.6%","36.7%","26.5%","99.8%","97.3%"
"Garland city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.30","3,144","46","40","109","7","146,885","20,126","13,207","35,203","36,649","11,242","18,930","11,528","69,459","65,576"
"    Percent","(X)","3,144","(X)","(X)","(X)","(X)","146,885","13.7%","9.0%","24.0%","25.0%","7.7%","12.9%","7.8%","95.9%","90.6%"
"Georgetown city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.60","958","44","0","107","35","55,913","1,462","1,345","13,387","11,390","3,494","15,422","9,413","28,665","27,664"
"    Percent","(X)","958","(X)","(X)","(X)","(X)","55,913","2.6%","2.4%","23.9%","20.4%","6.2%","27.6%","16.8%","95.9%","92.6%"
"Grand Prairie city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.13","3,016","32","0","116","20","119,857","10,152","10,754","35,614","22,093","9,685","20,110","11,449","59,886","55,975"
"    Percent","(X)","3,016","(X)","(X)","(X)","(X)","119,857","8.5%","9.0%","29.7%","18.4%","8.1%","16.8%","9.6%","96.5%","90.2%"
"Harlingen city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.76","1,185","117","0","42","137","37,401","6,125","3,545","10,658","6,823","3,484","4,693","2,073","19,234","15,014"
"    Percent","(X)","1,185","(X)","(X)","(X)","(X)","37,401","16.4%","9.5%","28.5%","18.2%","9.3%","12.5%","5.5%","84.0%","65.6%"
"Houston city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.60","32,920","32","13","87","27","1,528,493","174,155","131,534","349,430","261,099","92,507","315,908","203,860","808,417","745,070"
"    Percent","(X)","32,920","(X)","(X)","(X)","(X)","1,528,493","11.4%","8.6%","22.9%","17.1%","6.1%","20.7%","13.3%","92.2%","85.0%"
"Irving city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.86","3,223","22","0","63","39","152,832","15,553","12,606","32,677","21,661","8,034","39,183","23,118","81,496","73,719"
"    Percent","(X)","3,223","(X)","(X)","(X)","(X)","152,832","10.2%","8.2%","21.4%","14.2%","5.3%","25.6%","15.1%","97.8%","88.5%"
"Killeen city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.65","4,082","69","0","148","66","90,369","2,757","4,492","23,415","29,616","12,760","12,188","5,141","53,169","49,714"
"    Percent","(X)","4,082","(X)","(X)","(X)","(X)","90,369","3.1%","5.0%","25.9%","32.8%","14.1%","13.5%","5.7%","93.1%","87.1%"
"Laredo city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.57","5,267","67","6","121","67","148,897","25,821","23,221","29,224","27,078","12,420","23,053","8,080","68,246","59,629"
"    Percent","(X)","5,267","(X)","(X)","(X)","(X)","148,897","17.3%","15.6%","19.6%","18.2%","8.3%","15.5%","5.4%","93.4%","81.6%"
"League City city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.73","N","N","N","N","N","72,001","1,571","1,029","12,425","14,471","9,002","21,243","12,260","38,246","37,375"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","72,001","2.2%","1.4%","17.3%","20.1%","12.5%","29.5%","17.0%","98.3%","96.1%"
"Leander city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.34","1,511","0","0","159","52","41,901","550","1,294","9,082","8,476","3,311","12,727","6,461","20,083","19,660"
"    Percent","(X)","1,511","(X)","(X)","(X)","(X)","41,901","1.3%","3.1%","21.7%","20.2%","7.9%","30.4%","15.4%","97.7%","95.7%"
"Lewisville city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.63","1,701","26","0","78","34","75,150","3,679","4,519","18,446","15,750","6,280","17,376","9,100","40,457","39,259"
"    Percent","(X)","1,701","(X)","(X)","(X)","(X)","75,150","4.9%","6.0%","24.5%","21.0%","8.4%","23.1%","12.1%","98.4%","95.5%"
"Longview city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.63","987","24","0","106","0","53,566","2,862","4,824","14,533","13,107","5,391","8,872","3,977","27,550","26,494"
"    Percent","(X)","987","(X)","(X)","(X)","(X)","53,566","5.3%","9.0%","27.1%","24.5%","10.1%","16.6%","7.4%","92.3%","88.8%"
"Lubbock city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.49","5,186","29","15","96","65","151,294","9,638","8,512","36,973","36,772","8,021","30,498","20,880","93,560","82,398"
"    Percent","(X)","5,186","(X)","(X)","(X)","(X)","151,294","6.4%","5.6%","24.4%","24.3%","5.3%","20.2%","13.8%","94.4%","83.1%"
"McAllen city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.02","3,043","42","0","169","38","91,947","11,041","9,509","19,907","17,694","5,720","19,014","9,062","43,216","40,348"
"    Percent","(X)","3,043","(X)","(X)","(X)","(X)","91,947","12.0%","10.3%","21.7%","19.2%","6.2%","20.7%","9.9%","91.8%","85.7%"
"McKinney city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.88","2,225","1","0","74","37","127,996","6,324","3,613","22,166","24,058","10,537","43,058","18,240","66,344","61,301"
"    Percent","(X)","2,225","(X)","(X)","(X)","(X)","127,996","4.9%","2.8%","17.3%","18.8%","8.2%","33.6%","14.3%","96.9%","89.5%"
"Mansfield city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","3.25","N","N","N","N","N","46,106","965","1,246","7,532","10,304","4,512","15,172","6,375","22,198","21,624"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","46,106","2.1%","2.7%","16.3%","22.3%","9.8%","32.9%","13.8%","96.8%","94.3%"
"Mesquite city, Texas","","","","","","","","","","","","","","","",""
"    Estimate","2.83","1,133","27","0","72","8","92,928","6,653","10,129","30,186","24,032","7,634","9,730","4,564","47,097","43,816"
"    Percent","(X)","1,133","(X)","(X)","(X)","(X)","92,928","7.2%","10.9%","32.5%","25.9%","8.2%","10.5%","4.9%","95.1%","88.4%"
"Midland city, Texas","","","","","","","","","","","","","","","",""
