"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Estimate","3.16","5,999","33,092","6,552","3,396","33,734","31,382"
"    Percent","(X)","7.4%","41.1%","8.1%","4.2%","83.9%","78.0%"
"Jersey City city, New Jersey","","","","","","",""
"    Estimate","2.38","9,497","38,954","58,165","43,944","103,619","98,809"
"    Percent","(X)","4.9%","20.1%","30.1%","22.7%","95.1%","90.7%"
"Newark city, New Jersey","","","","","","",""
"    Estimate","2.62","21,353","71,692","18,760","7,160","91,181","72,713"
"    Percent","(X)","11.6%","39.1%","10.2%","3.9%","89.3%","71.2%"
"Passaic city, New Jersey","","","","","","",""
"    Estimate","3.48","4,582","15,224","4,121","1,909","17,482","17,489"
"    Percent","(X)","11.4%","38.0%","10.3%","4.8%","87.6%","87.6%"
"Paterson city, New Jersey","","","","","","",""
"    Estimate","3.32","6,716","43,403","9,566","1,642","39,266","38,011"
"    Percent","(X)","7.4%","47.8%","10.5%","1.8%","91.0%","88.0%"
"Toms River CDP, New Jersey","","","","","","",""
"    Estimate","2.60","2,658","23,612","14,440","6,259","32,596","30,834"
"    Percent","(X)","4.1%","36.2%","22.2%","9.6%","94.0%","88.9%"
"Trenton city, New Jersey","","","","","","",""
"    Estimate","2.78","9,776","18,480","4,789","2,864","25,210","20,275"
"    Percent","(X)","18.1%","34.2%","8.9%","5.3%","89.3%","71.8%"
"Union City city, New Jersey","","","","","","",""
"    Estimate","2.64","3,224","14,178","7,864","4,547","24,031","21,737"
"    Percent","(X)","7.0%","30.8%","17.1%","9.9%","93.9%","85.0%"
"Albuquerque city, New Mexico","","","","","","",""
"    Estimate","2.44","26,778","89,396","80,519","59,965","211,985","191,482"
"    Percent","(X)","6.9%","23.0%","20.8%","15.5%","93.3%","84.3%"
"Las Cruces city, New Mexico","","","","","","",""
"    Estimate","2.52","3,630","12,573","11,757","9,583","36,945","32,569"
"    Percent","(X)","5.7%","19.8%","18.5%","15.1%","91.9%","81.0%"
"Rio Rancho city, New Mexico","","","","","","",""
"    Estimate","2.76","2,314","16,686","13,981","7,812","34,939","32,431"
"    Percent","(X)","3.4%","24.9%","20.8%","11.6%","97.7%","90.7%"
"Santa Fe city, New Mexico","","","","","","",""
"    Estimate","2.37","3,369","11,692","12,093","12,487","32,286","28,835"
"    Percent","(X)","5.5%","19.0%","19.6%","20.3%","92.0%","82.1%"
"Albany city, New York","","","","","","",""
"    Estimate","2.04","5,139","10,968","14,076","11,555","39,002","36,150"
"    Percent","(X)","8.8%","18.8%","24.1%","19.8%","92.0%","85.2%"
"Brentwood CDP, New York","","","","","","",""
"    Estimate","4.41","5,124","15,132","3,483","2,508","13,158","12,562"
"    Percent","(X)","12.2%","36.1%","8.3%","6.0%","95.8%","91.4%"
"Buffalo city, New York","","","","","","",""
"    Estimate","2.26","14,087","44,310","27,843","19,368","97,981","88,860"
"    Percent","(X)","8.6%","26.9%","16.9%","11.8%","89.8%","81.4%"
"Cheektowaga CDP, New York","","","","","","",""
"    Estimate","2.04","2,068","20,549","7,561","5,125","31,209","30,590"
"    Percent","(X)","3.7%","36.4%","13.4%","9.1%","87.4%","85.7%"
"Mount Vernon city, New York","","","","","","",""
"    Estimate","2.50","5,554","13,323","7,691","7,053","24,194","19,281"
"    Percent","(X)","10.9%","26.2%","15.1%","13.8%","91.2%","72.7%"
"New Rochelle city, New York","","","","","","",""
"    Estimate","2.35","3,923","13,304","11,512","12,564","27,676","24,700"
"    Percent","(X)","6.7%","22.7%","19.6%","21.4%","85.8%","76.6%"
"New York city, New York","","","","","","",""
"    Estimate","2.53","476,079","1,446,719","1,347,547","977,853","2,935,130","2,734,150"
"    Percent","(X)","8.0%","24.4%","22.7%","16.5%","91.4%","85.1%"
"Rochester city, New York","","","","","","",""
"    Estimate","2.24","17,117","35,217","21,219","16,761","76,638","68,425"
"    Percent","(X)","12.7%","26.1%","15.8%","12.4%","87.4%","78.0%"
"Schenectady city, New York","","","","","","",""
"    Estimate","2.32","3,371","14,971","6,274","3,655","24,081","21,322"
"    Percent","(X)","7.6%","33.8%","14.2%","8.2%","90.6%","80.2%"
"Syracuse city, New York","","","","","","",""
"    Estimate","2.23","7,947","23,173","14,936","13,330","49,065","43,047"
"    Percent","(X)","8.9%","26.1%","16.8%","15.0%","85.9%","75.4%"
"Yonkers city, New York","","","","","","",""
"    Estimate","2.64","9,942","35,247","25,747","20,777","67,686","61,698"
"    Percent","(X)","7.5%","26.5%","19.4%","15.6%","90.4%","82.4%"
"Asheville city, North Carolina","","","","","","",""
"    Estimate","2.22","3,171","11,459","21,120","11,617","35,910","34,265"
"    Percent","(X)","4.7%","17.1%","31.6%","17.4%","89.0%","84.9%"
"Cary town, North Carolina","","","","","","",""
"    Estimate","2.64","2,137","11,915","41,762","39,453","63,936","62,294"
"    Percent","(X)","1.8%","10.0%","35.2%","33.2%","98.8%","96.2%"
"Charlotte city, North Carolina","","","","","","",""
"    Estimate","2.55","29,943","96,261","173,703","94,274","325,950","309,943"
"    Percent","(X)","5.0%","16.1%","29.1%","15.8%","95.2%","90.5%"
"Concord city, North Carolina","","","","","","",""
"    Estimate","3.09","3,488","13,749","15,196","9,834","29,515","27,731"
"    Percent","(X)","5.7%","22.4%","24.8%","16.0%","96.3%","90.4%"
"Durham city, North Carolina","","","","","","",""
"    Estimate","2.33","10,231","32,975","46,802","50,586","109,451","103,964"
"    Percent","(X)","5.4%","17.3%","24.5%","26.5%","95.4%","90.6%"
"Fayetteville city, North Carolina","","","","","","",""
"    Estimate","2.39","7,705","33,016","22,559","12,034","75,344","72,463"
"    Percent","(X)","6.0%","25.5%","17.5%","9.3%","91.8%","88.3%"
"Gastonia city, North Carolina","","","","","","",""
"    Estimate","2.72","5,076","15,848","9,412","4,417","26,354","22,475"
"    Percent","(X)","9.9%","30.8%","18.3%","8.6%","94.8%","80.9%"
"Greensboro city, North Carolina","","","","","","",""
"    Estimate","2.37","13,863","43,379","48,360","26,227","106,209","96,826"
"    Percent","(X)","7.2%","22.5%","25.1%","13.6%","90.0%","82.0%"
"Greenville city, North Carolina","","","","","","",""
"    Estimate","2.32","3,237","13,867","10,182","8,101","35,022","32,493"
"    Percent","(X)","6.2%","26.5%","19.4%","15.5%","93.6%","86.9%"
"High Point city, North Carolina","","","","","","",""
"    Estimate","2.62","6,456","14,017","16,179","8,250","38,096","36,045"
"    Percent","(X)","8.9%","19.2%","22.2%","11.3%","93.2%","88.2%"
"Jacksonville city, North Carolina","","","","","","",""
"    Estimate","2.49","1,458","9,669","5,411","1,898","21,491","20,201"
"    Percent","(X)","4.5%","29.8%","16.7%","5.8%","97.7%","91.9%"
"Raleigh city, North Carolina","","","","","","",""
"    Estimate","2.41","15,071","53,595","100,779","59,429","181,608","172,456"
"    Percent","(X)","4.7%","16.8%","31.6%","18.7%","96.4%","91.5%"
"Wilmington city, North Carolina","","","","","","",""
"    Estimate","2.16","4,627","15,572","21,128","12,711","51,272","48,104"
"    Percent","(X)","5.7%","19.3%","26.2%","15.7%","93.8%","88.0%"
"Winston-Salem city, North Carolina","","","","","","",""
"    Estimate","2.50","11,281","42,152","30,705","20,628","88,670","78,944"
"    Percent","(X)","7.1%","26.6%","19.4%","13.0%","93.5%","83.2%"
"Bismarck city, North Dakota","","","","","","",""
"    Estimate","2.36","1,365","12,286","12,647","5,078","28,095","26,577"
"    Percent","(X)","2.7%","24.7%","25.4%","10.2%","91.1%","86.2%"
"Fargo city, North Dakota","","","","","","",""
"    Estimate","2.09","2,419","19,353","21,346","10,250","54,066","48,595"
"    Percent","(X)","3.0%","24.1%","26.6%","12.8%","94.7%","85.1%"
"Akron city, Ohio","","","","","","",""
"    Estimate","2.29","10,660","44,909","18,327","11,196","76,863","71,095"
"    Percent","(X)","8.0%","33.8%","13.8%","8.4%","91.7%","84.8%"
"Canton city, Ohio","","","","","","",""
"    Estimate","2.12","4,895","20,159","4,799","1,713","27,690","24,000"
"    Percent","(X)","10.3%","42.5%","10.1%","3.6%","86.6%","75.0%"
"Cincinnati city, Ohio","","","","","","",""
"    Estimate","2.11","13,909","48,233","42,828","37,180","125,090","117,625"
"    Percent","(X)","7.1%","24.5%","21.7%","18.9%","90.9%","85.5%"
"Cleveland city, Ohio","","","","","","",""
"    Estimate","2.14","31,168","83,014","29,390","18,952","150,172","118,883"
"    Percent","(X)","12.0%","31.9%","11.3%","7.3%","87.5%","69.3%"
"Columbus city, Ohio","","","","","","",""
"    Estimate","2.38","37,325","147,131","153,591","80,907","347,325","330,398"
"    Percent","(X)","6.2%","24.6%","25.6%","13.5%","94.3%","89.7%"
"Dayton city, Ohio","","","","","","",""
"    Estimate","2.23","10,092","25,464","9,894","5,700","49,975","44,953"
"    Percent","(X)","11.6%","29.3%","11.4%","6.6%","88.4%","79.5%"
"Lorain city, Ohio","","","","","","",""
"    Estimate","2.54","5,688","14,003","3,179","1,899","21,948","18,143"
"    Percent","(X)","13.9%","34.1%","7.7%","4.6%","88.0%","72.7%"
"Parma city, Ohio","","","","","","",""
"    Estimate","2.24","3,176","23,204","8,839","3,219","31,134","29,637"
"    Percent","(X)","5.6%","41.1%","15.7%","5.7%","90.7%","86.3%"
"Toledo city, Ohio","","","","","","",""
"    Estimate","2.19","18,918","58,842","22,508","11,236","108,510","98,555"
"    Percent","(X)","10.4%","32.3%","12.4%","6.2%","89.7%","81.4%"
"Youngstown city, Ohio","","","","","","",""
"    Estimate","2.09","4,546","16,772","4,922","2,197","24,464","22,598"
"    Percent","(X)","10.6%","39.3%","11.5%","5.1%","84.1%","77.7%"
"Broken Arrow city, Oklahoma","","","","","","",""
"    Estimate","2.64","2,486","16,450","16,687","8,421","40,907","38,475"
"    Percent","(X)","3.3%","21.9%","22.3%","11.2%","98.0%","92.2%"
"Edmond city, Oklahoma","","","","","","",""
"    Estimate","2.57","2,936","9,484","19,586","12,510","35,044","34,316"
"    Percent","(X)","4.7%","15.2%","31.4%","20.0%","97.2%","95.2%"
"Lawton city, Oklahoma","","","","","","",""
"    Estimate","2.61","4,747","19,693","7,569","4,802","30,242","27,715"
"    Percent","(X)","8.0%","33.2%","12.7%","8.1%","94.0%","86.1%"
"Norman city, Oklahoma","","","","","","",""
"    Estimate","2.43","2,489","11,722","17,045","16,701","46,937","42,820"
"    Percent","(X)","3.5%","16.3%","23.7%","23.2%","96.7%","88.2%"
"Oklahoma City city, Oklahoma","","","","","","",""
"    Estimate","2.57","32,344","114,039","83,515","50,692","231,963","215,417"
"    Percent","(X)","7.5%","26.5%","19.4%","11.8%","92.9%","86.3%"
"Tulsa city, Oklahoma","","","","","","",""
"    Estimate","2.41","20,274","67,645","57,668","31,694","152,766","141,910"
"    Percent","(X)","7.6%","25.4%","21.7%","11.9%","93.3%","86.6%"
"Beaverton city, Oregon","","","","","","",""
"    Estimate","2.25","1,906","15,280","22,216","11,685","42,231","39,551"
"    Percent","(X)","2.6%","20.5%","29.8%","15.7%","96.7%","90.6%"
"Bend city, Oregon","","","","","","",""
"    Estimate","2.54","2,323","11,656","19,887","13,230","38,042","36,924"
"    Percent","(X)","3.2%","16.2%","27.6%","18.4%","96.6%","93.8%"
"Eugene city, Oregon","","","","","","",""
"    Estimate","2.27","3,397","20,102","25,099","23,613","70,019","66,490"
"    Percent","(X)","3.0%","17.6%","21.9%","20.6%","95.5%","90.7%"
"Gresham city, Oregon","","","","","","",""
"    Estimate","2.65","6,429","19,148","12,345","6,606","38,272","36,558"
"    Percent","(X)","8.3%","24.8%","16.0%","8.5%","94.3%","90.0%"
"Hillsboro city, Oregon","","","","","","",""
"    Estimate","2.82","2,959","15,021","16,004","14,048","37,489","35,546"
"    Percent","(X)","4.0%","20.4%","21.8%","19.1%","98.4%","93.3%"
"Medford city, Oregon","","","","","","",""
"    Estimate","2.46","4,366","16,777","9,239","5,533","30,506","28,249"
"    Percent","(X)","7.6%","29.3%","16.1%","9.7%","92.3%","85.5%"
"Portland city, Oregon","","","","","","",""
"    Estimate","2.27","17,120","73,331","153,312","104,486","269,014","256,253"
"    Percent","(X)","3.5%","15.0%","31.4%","21.4%","96.0%","91.5%"
"Salem city, Oregon","","","","","","",""
"    Estimate","2.73","6,083","22,099","21,185","13,316","58,556","55,313"
"    Percent","(X)","5.5%","19.8%","19.0%","11.9%","95.9%","90.5%"
"Allentown city, Pennsylvania","","","","","","",""
"    Estimate","2.80","7,325","30,585","7,514","3,285","35,264","31,680"
"    Percent","(X)","10.0%","41.6%","10.2%","4.5%","86.1%","77.3%"
"Bethlehem city, Pennsylvania","","","","","","",""
"    Estimate","2.39","3,825","16,412","10,698","5,225","26,690","25,485"
"    Percent","(X)","7.5%","32.3%","21.0%","10.3%","91.4%","87.2%"
"Erie city, Pennsylvania","","","","","","",""
"    Estimate","2.26","6,507","24,176","9,495","4,775","34,549","32,045"
"    Percent","(X)","10.2%","37.8%","14.9%","7.5%","86.8%","80.5%"
"Philadelphia city, Pennsylvania","","","","","","",""
"    Estimate","2.48","98,403","353,708","195,772","141,903","562,041","521,359"
"    Percent","(X)","9.0%","32.5%","18.0%","13.0%","90.7%","84.2%"
"Pittsburgh city, Pennsylvania","","","","","","",""
"    Estimate","1.94","8,850","51,395","50,275","47,174","130,839","123,909"
"    Percent","(X)","4.3%","24.8%","24.2%","22.8%","91.3%","86.5%"
"Reading city, Pennsylvania","","","","","","",""
"    Estimate","2.92","8,867","19,602","5,326","1,815","25,202","22,559"
"    Percent","(X)","17.2%","38.0%","10.3%","3.5%","85.9%","76.9%"
"Scranton city, Pennsylvania","","","","","","",""
"    Estimate","2.30","3,976","21,639","8,218","4,389","27,735","26,499"
"    Percent","(X)","7.7%","41.8%","15.9%","8.5%","89.7%","85.7%"
"Cranston city, Rhode Island","","","","","","",""
"    Estimate","2.51","3,197","14,870","11,665","9,168","28,503","26,767"
"    Percent","(X)","5.5%","25.4%","19.9%","15.6%","91.4%","85.8%"
"Pawtucket city, Rhode Island","","","","","","",""
"    Estimate","2.52","3,792","17,770","8,303","3,329","25,588","22,974"
"    Percent","(X)","7.6%","35.4%","16.5%","6.6%","89.9%","80.7%"
"Providence city, Rhode Island","","","","","","",""
"    Estimate","2.65","6,266","33,494","20,321","17,357","56,212","53,367"
"    Percent","(X)","5.5%","29.5%","17.9%","15.3%","90.6%","86.0%"
"Warwick city, Rhode Island","","","","","","",""
"    Estimate","2.31","2,936","17,923","12,280","8,071","32,225","31,081"
"    Percent","(X)","4.8%","29.3%","20.1%","13.2%","92.5%","89.2%"
"Charleston city, South Carolina","","","","","","",""
"    Estimate","2.33","2,868","17,092","35,956","20,641","56,224","51,515"
"    Percent","(X)","2.9%","17.0%","35.9%","20.6%","95.5%","87.5%"
"Columbia city, South Carolina","","","","","","",""
"    Estimate","2.23","6,562","15,004","20,903","13,481","43,594","38,677"
"    Percent","(X)","8.8%","20.0%","27.9%","18.0%","95.9%","85.1%"
"Greenville city, South Carolina","","","","","","",""
"    Estimate","2.05","3,255","6,884","15,508","10,814","29,539","27,384"
"    Percent","(X)","6.5%","13.8%","31.2%","21.7%","91.6%","84.9%"
"Mount Pleasant town, South Carolina","","","","","","",""
"    Estimate","2.53","1,334","6,248","26,403","17,403","35,487","34,043"
"    Percent","(X)","2.0%","9.4%","39.9%","26.3%","98.3%","94.3%"
"North Charleston city, South Carolina","","","","","","",""
"    Estimate","2.49","9,244","22,685","14,762","6,165","44,856","32,594"
"    Percent","(X)","11.3%","27.8%","18.1%","7.5%","95.3%","69.3%"
"Rock Hill city, South Carolina","","","","","","",""
"    Estimate","2.23","1,941","11,251","9,761","5,761","30,794","29,468"
"    Percent","(X)","3.9%","22.5%","19.6%","11.5%","95.2%","91.1%"
"Rapid City city, South Dakota","","","","","","",""
"    Estimate","2.35","3,296","13,479","11,738","6,121","29,444","27,014"
"    Percent","(X)","6.1%","24.9%","21.7%","11.3%","93.8%","86.1%"
"Sioux Falls city, South Dakota","","","","","","",""
"    Estimate","2.31","4,543","28,438","30,511","13,862","72,608","69,942"
"    Percent","(X)","3.8%","23.5%","25.2%","11.5%","94.3%","90.8%"
"Chattanooga city, Tennessee","","","","","","",""
"    Estimate","2.19","10,897","32,256","25,404","16,496","70,991","67,669"
"    Percent","(X)","8.3%","24.7%","19.5%","12.6%","89.2%","85.0%"
"Clarksville city, Tennessee","","","","","","",""
"    Estimate","2.62","3,424","26,951","17,240","9,733","56,927","52,852"
"    Percent","(X)","3.6%","28.4%","18.1%","10.2%","96.5%","89.6%"
"Franklin city, Tennessee","","","","","","",""
"    Estimate","2.53","1,387","7,226","22,204","14,125","31,488","30,886"
"    Percent","(X)","2.5%","12.9%","39.5%","25.1%","96.3%","94.5%"
"Jackson city, Tennessee","","","","","","",""
"    Estimate","2.45","3,303","13,606","6,555","4,760","22,577","21,443"
"    Percent","(X)","8.0%","32.9%","15.8%","11.5%","87.1%","82.7%"
"Johnson City city, Tennessee","","","","","","",""
"    Estimate","2.08","3,321","9,891","9,750","8,680","27,896","26,598"
"    Percent","(X)","7.6%","22.5%","22.2%","19.8%","90.8%","86.6%"
"Knoxville city, Tennessee","","","","","","",""
"    Estimate","2.14","9,313","34,015","25,101","15,553","76,857","65,370"
"    Percent","(X)","7.5%","27.5%","20.3%","12.6%","92.1%","78.3%"
"Memphis city, Tennessee","","","","","","",""
"    Estimate","2.50","39,773","136,228","65,766","44,429","215,897","187,376"
"    Percent","(X)","9.2%","31.6%","15.3%","10.3%","84.9%","73.6%"
"Murfreesboro city, Tennessee","","","","","","",""
"    Estimate","2.72","3,051","18,606","19,623","11,356","50,494","49,196"
"    Percent","(X)","3.4%","20.8%","21.9%","12.7%","96.1%","93.7%"
"Nashville-Davidson metropolitan government (balance), Tennessee","","","","","","",""
"    Estimate","2.32","29,404","94,245","130,797","80,002","266,751","250,898"
"    Percent","(X)","6.3%","20.2%","28.1%","17.2%","95.4%","89.8%"
"Abilene city, Texas","","","","","","",""
"    Estimate","2.56","5,394","25,127","12,453","6,598","39,544","36,254"
"    Percent","(X)","7.0%","32.7%","16.2%","8.6%","91.9%","84.3%"
"Allen city, Texas","","","","","","",""
"    Estimate","3.05","1,295","9,733","22,997","14,041","34,103","33,605"
"    Percent","(X)","1.9%","14.5%","34.2%","20.9%","98.7%","97.3%"
"Amarillo city, Texas","","","","","","",""
"    Estimate","2.57","10,284","35,929","21,144","10,513","71,721","67,252"
"    Percent","(X)","8.1%","28.3%","16.7%","8.3%","94.1%","88.2%"
"Arlington city, Texas","","","","","","",""
"    Estimate","2.85","18,767","64,667","57,470","27,468","133,208","128,471"
"    Percent","(X)","7.4%","25.6%","22.8%","10.9%","96.1%","92.7%"
"Atascocita CDP, Texas","","","","","","",""
"    Estimate","3.16","2,722","9,179","14,421","7,887","25,054","N"
"    Percent","(X)","5.1%","17.3%","27.1%","14.8%","98.3%","N"
"Austin city, Texas","","","","","","",""
"    Estimate","2.33","28,598","97,804","233,048","145,078","389,192","365,742"
"    Percent","(X)","4.2%","14.2%","33.9%","21.1%","94.9%","89.2%"
"Baytown city, Texas","","","","","","",""
"    Estimate","2.83","3,713","17,797","4,962","2,428","25,160","22,695"
"    Percent","(X)","7.4%","35.5%","9.9%","4.8%","93.3%","84.1%"
"Beaumont city, Texas","","","","","","",""
"    Estimate","2.48","5,712","22,335","13,695","7,346","43,205","38,912"
"    Percent","(X)","7.4%","29.1%","17.8%","9.6%","95.1%","85.6%"
"Brownsville city, Texas","","","","","","",""
"    Estimate","3.30","15,458","27,113","14,881","5,971","46,706","42,345"
"    Percent","(X)","14.1%","24.8%","13.6%","5.5%","84.8%","76.9%"
"Bryan city, Texas","","","","","","",""
"    Estimate","2.64","5,186","15,780","8,143","5,462","27,708","23,061"
"    Percent","(X)","9.5%","28.9%","14.9%","10.0%","89.2%","74.3%"
"Carrollton city, Texas","","","","","","",""
"    Estimate","2.83","5,624","20,424","28,733","11,452","48,142","44,553"
"    Percent","(X)","5.7%","20.7%","29.2%","11.6%","98.3%","91.0%"
"Cedar Park city, Texas","","","","","","",""
"    Estimate","3.21","1,798","9,110","16,930","8,914","23,410","22,827"
"    Percent","(X)","3.4%","17.4%","32.3%","17.0%","97.4%","95.0%"
"College Station city, Texas","","","","","","",""
"    Estimate","2.63","2,015","7,695","17,119","15,813","39,705","35,372"
"    Percent","(X)","3.8%","14.6%","32.4%","29.9%","98.6%","87.8%"
"Conroe city, Texas","","","","","","",""
"    Estimate","2.86","6,348","13,641","11,653","4,567","30,037","28,150"
"    Percent","(X)","10.8%","23.1%","19.8%","7.7%","96.2%","90.1%"
"Corpus Christi city, Texas","","","","","","",""
"    Estimate","2.67","18,457","65,691","31,590","19,055","110,143","104,553"
"    Percent","(X)","8.6%","30.8%","14.8%","8.9%","92.4%","87.7%"
"Dallas city, Texas","","","","","","",""
"    Estimate","2.56","75,935","202,156","190,370","116,308","469,248","423,525"
"    Percent","(X)","8.6%","22.9%","21.6%","13.2%","90.4%","81.6%"
"Denton city, Texas","","","","","","",""
"    Estimate","2.86","5,559","15,044","24,060","12,688","44,635","41,469"
"    Percent","(X)","6.5%","17.5%","27.9%","14.7%","96.7%","89.9%"
"Edinburg city, Texas","","","","","","",""
"    Estimate","3.18","6,234","13,186","10,626","6,267","27,461","24,771"
"    Percent","(X)","10.9%","23.0%","18.5%","10.9%","90.9%","82.0%"
"El Paso city, Texas","","","","","","",""
"    Estimate","3.02","36,023","106,802","72,042","31,661","203,199","189,452"
"    Percent","(X)","8.4%","25.0%","16.9%","7.4%","91.1%","84.9%"
"Flower Mound town, Texas","","","","","","",""
"    Estimate","3.05","655","7,039","22,320","11,574","27,153","26,644"
"    Percent","(X)","1.2%","12.7%","40.3%","20.9%","99.8%","98.0%"
"Fort Worth city, Texas","","","","","","",""
"    Estimate","2.90","49,218","143,183","119,492","60,581","295,092","275,296"
"    Percent","(X)","8.6%","24.9%","20.8%","10.5%","95.5%","89.1%"
"Frisco city, Texas","","","","","","",""
"    Estimate","2.95","2,873","12,943","46,431","33,538","67,698","66,000"
"    Percent","(X)","2.3%","10.2%","36.7%","26.5%","99.8%","97.3%"
"Garland city, Texas","","","","","","",""
"    Estimate","3.30","13,207","35,203","18,930","11,528","69,459","65,576"
"    Percent","(X)","9.0%","24.0%","12.9%","7.8%","95.9%","90.6%"
"Georgetown city, Texas","","","","","","",""
"    Estimate","2.60","1,345","13,387","15,422","9,413","28,665","27,664"
"    Percent","(X)","2.4%","23.9%","27.6%","16.8%","95.9%","92.6%"
"Grand Prairie city, Texas","","","","","","",""
"    Estimate","3.13","10,754","35,614","20,110","11,449","59,886","55,975"
"    Percent","(X)","9.0%","29.7%","16.8%","9.6%","96.5%","90.2%"
"Harlingen city, Texas","","","","","","",""
"    Estimate","2.76","3,545","10,658","4,693","2,073","19,234","15,014"
"    Percent","(X)","9.5%","28.5%","12.5%","5.5%","84.0%","65.6%"
"Houston city, Texas","","","","","","",""
"    Estimate","2.60","131,534","349,430","315,908","203,860","808,417","745,070"
"    Percent","(X)","8.6%","22.9%","20.7%","13.3%","92.2%","85.0%"
"Irving city, Texas","","","","","","",""
"    Estimate","2.86","12,606","32,677","39,183","23,118","81,496","73,719"
"    Percent","(X)","8.2%","21.4%","25.6%","15.1%","97.8%","88.5%"
"Killeen city, Texas","","","","","","",""
"    Estimate","2.65","4,492","23,415","12,188","5,141","53,169","49,714"
"    Percent","(X)","5.0%","25.9%","13.5%","5.7%","93.1%","87.1%"
"Laredo city, Texas","","","","","","",""
"    Estimate","3.57","23,221","29,224","23,053","8,080","68,246","59,629"
"    Percent","(X)","15.6%","19.6%","15.5%","5.4%","93.4%","81.6%"
"League City city, Texas","","","","","","",""
"    Estimate","2.73","1,029","12,425","21,243","12,260","38,246","37,375"
"    Percent","(X)","1.4%","17.3%","29.5%","17.0%","98.3%","96.1%"
"Leander city, Texas","","","","","","",""
"    Estimate","3.34","1,294","9,082","12,727","6,461","20,083","19,660"
"    Percent","(X)","3.1%","21.7%","30.4%","15.4%","97.7%","95.7%"
"Lewisville city, Texas","","","","","","",""
"    Estimate","2.63","4,519","18,446","17,376","9,100","40,457","39,259"
"    Percent","(X)","6.0%","24.5%","23.1%","12.1%","98.4%","95.5%"
"Longview city, Texas","","","","","","",""
"    Estimate","2.63","4,824","14,533","8,872","3,977","27,550","26,494"
"    Percent","(X)","9.0%","27.1%","16.6%","7.4%","92.3%","88.8%"
"Lubbock city, Texas","","","","","","",""
"    Estimate","2.49","8,512","36,973","30,498","20,880","93,560","82,398"
"    Percent","(X)","5.6%","24.4%","20.2%","13.8%","94.4%","83.1%"
"McAllen city, Texas","","","","","","",""
"    Estimate","3.02","9,509","19,907","19,014","9,062","43,216","40,348"
"    Percent","(X)","10.3%","21.7%","20.7%","9.9%","91.8%","85.7%"
"McKinney city, Texas","","","","","","",""
"    Estimate","2.88","3,613","22,166","43,058","18,240","66,344","61,301"
"    Percent","(X)","2.8%","17.3%","33.6%","14.3%","96.9%","89.5%"
"Mansfield city, Texas","","","","","","",""
"    Estimate","3.25","1,246","7,532","15,172","6,375","22,198","21,624"
"    Percent","(X)","2.7%","16.3%","32.9%","13.8%","96.8%","94.3%"
"Mesquite city, Texas","","","","","","",""
"    Estimate","2.83","10,129","30,186","9,730","4,564","47,097","43,816"
"    Percent","(X)","10.9%","32.5%","10.5%","4.9%","95.1%","88.4%"
"Midland city, Texas","","","","","","",""
"    Estimate","3.01","7,228","21,197","20,151","9,597","46,285","40,301"
"    Percent","(X)","7.9%","23.1%","22.0%","10.5%","96.5%","84.0%"
"Mission city, Texas","","","","","","",""
"    Estimate","3.40","4,999","12,750","9,460","3,187","23,759","21,787"
"    Percent","(X)","10.1%","25.7%","19.0%","6.4%","96.2%","88.2%"
"Missouri City city, Texas","","","","","","",""
"    Estimate","2.98","2,569","10,410","14,994","7,989","24,428","24,053"
"    Percent","(X)","4.8%","19.6%","28.2%","15.0%","96.8%","95.4%"
"New Braunfels city, Texas","","","","","","",""
"    Estimate","2.69","3,254","15,715","14,424","8,178","31,707","30,725"
"    Percent","(X)","5.4%","26.1%","24.0%","13.6%","94.9%","92.0%"
"North Richland Hills city, Texas","","","","","","",""
"    Estimate","2.60","1,741","12,468","12,896","4,639","26,423","25,991"
"    Percent","(X)","3.5%","24.9%","25.7%","9.3%","97.6%","96.0%"
"Odessa city, Texas","","","","","","",""
"    Estimate","2.87","9,112","22,587","8,504","4,582","38,906","34,054"
"    Percent","(X)","12.0%","29.7%","11.2%","6.0%","91.6%","80.2%"
"Pasadena city, Texas","","","","","","",""
"    Estimate","3.15","11,604","29,992","9,615","5,030","44,670","43,191"
"    Percent","(X)","12.6%","32.7%","10.5%","5.5%","93.6%","90.5%"
"Pearland city, Texas","","","","","","",""
"    Estimate","2.78","2,549","17,465","26,227","14,719","46,759","45,483"
"    Percent","(X)","2.9%","19.9%","29.9%","16.8%","99.3%","96.6%"
"Pflugerville city, Texas","","","","","","",""
"    Estimate","2.95","1,468","13,150","12,779","4,687","21,804","21,205"
"    Percent","(X)","3.3%","29.4%","28.5%","10.5%","99.2%","96.5%"
"Pharr city, Texas","","","","","","",""
"    Estimate","3.42","5,886","12,768","4,854","928","20,179","9,329"
"    Percent","(X)","13.3%","29.0%","11.0%","2.1%","87.3%","40.3%"
"Plano city, Texas","","","","","","",""
"    Estimate","2.65","3,957","28,357","68,655","47,586","105,822","102,791"
